epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,164.256,1.45572,2.11461,0.97105,0.43725,0.47082,0.41713,0.26951,1.47693,1.78387,1.05374,0.000216175,0.000216175,0.000216175
43,167.405,1.41982,2.07576,0.97322,0.48021,0.42963,0.44581,0.29415,1.45343,1.80688,1.04438,0.00021535,0.00021535,0.00021535
44,171.394,1.40083,2.08801,0.95877,0.50464,0.44156,0.45342,0.30532,1.46382,1.77919,1.05203,0.000214525,0.000214525,0.000214525
45,175.85,1.42679,2.01725,0.98139,0.4928,0.45149,0.46591,0.31033,1.43061,1.80518,1.04675,0.0002137,0.0002137,0.0002137
46,179.061,1.37463,2.01394,0.95011,0.48744,0.49505,0.49699,0.3377,1.4395,1.68999,1.04829,0.000212875,0.000212875,0.000212875
47,182.106,1.43318,2.02898,0.97432,0.46414,0.517,0.49584,0.33214,1.44076,1.63073,1.05417,0.00021205,0.00021205,0.00021205
48,185.734,1.37872,1.94924,0.96769,0.51508,0.51807,0.52749,0.34889,1.45196,1.62253,1.06159,0.000211225,0.000211225,0.000211225
49,190.487,1.35789,1.84569,0.95911,0.52888,0.50262,0.53963,0.36193,1.42665,1.61648,1.05335,0.0002104,0.0002104,0.0002104
50,193.654,1.38035,1.89278,0.98361,0.4842,0.48275,0.52679,0.35346,1.4279,1.63732,1.05547,0.000209575,0.000209575,0.000209575
51,196.904,1.35827,1.87313,0.95093,0.47275,0.50175,0.53855,0.36166,1.41561,1.62824,1.04765,0.00020875,0.00020875,0.00020875
52,200.197,1.28932,1.83007,0.9525,0.52897,0.55464,0.57254,0.3605,1.50499,1.63003,1.0612,0.000207925,0.000207925,0.000207925
53,205.034,1.40934,1.81961,0.95574,0.54581,0.5439,0.57303,0.38566,1.42329,1.59441,1.04776,0.0002071,0.0002071,0.0002071
54,208.587,1.34747,1.82031,0.94802,0.50251,0.58062,0.57381,0.37115,1.47663,1.52489,1.05886,0.000206275,0.000206275,0.000206275
55,211.722,1.3517,1.81272,0.94515,0.56375,0.54841,0.57651,0.37641,1.4587,1.53376,1.05482,0.00020545,0.00020545,0.00020545
56,214.792,1.3747,1.78665,0.95478,0.51305,0.58244,0.59078,0.39548,1.40204,1.51861,1.03748,0.000204625,0.000204625,0.000204625
57,219.603,1.35557,1.73036,0.96656,0.55185,0.5805,0.59518,0.39692,1.40526,1.45391,1.0431,0.0002038,0.0002038,0.0002038
58,223.716,1.35782,1.76694,0.9449,0.54086,0.60119,0.60774,0.4095,1.37544,1.42925,1.03816,0.000202975,0.000202975,0.000202975
59,226.863,1.33593,1.74339,0.98121,0.58841,0.583,0.62006,0.41662,1.39084,1.39368,1.03204,0.00020215,0.00020215,0.00020215
60,230.214,1.30787,1.67906,0.95379,0.58653,0.53362,0.60269,0.40306,1.4342,1.47167,1.05541,0.000201325,0.000201325,0.000201325
61,234.961,1.37137,1.72978,0.95825,0.62549,0.52399,0.61143,0.41177,1.41543,1.48092,1.05768,0.0002005,0.0002005,0.0002005
62,238.376,1.29929,1.68052,0.95718,0.59926,0.56357,0.64108,0.43973,1.36549,1.36231,1.03386,0.000199675,0.000199675,0.000199675
63,241.504,1.31399,1.69115,0.94908,0.60805,0.58225,0.63933,0.43225,1.37716,1.35533,1.04647,0.00019885,0.00019885,0.00019885
64,244.77,1.32604,1.68399,0.94504,0.69252,0.56309,0.65211,0.43687,1.36,1.32993,1.03329,0.000198025,0.000198025,0.000198025
65,249.189,1.32316,1.69772,0.93887,0.60788,0.57452,0.65807,0.44806,1.35419,1.33855,1.02792,0.0001972,0.0001972,0.0001972
66,253.092,1.27407,1.61368,0.94004,0.64856,0.59302,0.67048,0.44283,1.39259,1.34409,1.03857,0.000196375,0.000196375,0.000196375
67,256.063,1.2711,1.59169,0.93702,0.61751,0.60997,0.66757,0.44549,1.35244,1.29976,1.03366,0.00019555,0.00019555,0.00019555
68,259.454,1.28703,1.61286,0.94344,0.64461,0.58678,0.67604,0.46073,1.34002,1.30424,1.0351,0.000194725,0.000194725,0.000194725
69,263.65,1.29633,1.58368,0.94945,0.64193,0.58622,0.69567,0.46679,1.33842,1.32815,1.03174,0.0001939,0.0001939,0.0001939
70,267.686,1.30948,1.58728,0.94345,0.6379,0.59515,0.68809,0.46252,1.33183,1.26469,1.03305,0.000193075,0.000193075,0.000193075
71,271.049,1.2427,1.51799,0.93456,0.70783,0.56182,0.68121,0.45897,1.32083,1.25572,1.02922,0.00019225,0.00019225,0.00019225
72,274.181,1.24856,1.53514,0.95201,0.69587,0.60462,0.71046,0.47356,1.31134,1.25001,1.03007,0.000191425,0.000191425,0.000191425
73,278.095,1.26813,1.50396,0.93,0.6962,0.61254,0.69795,0.46298,1.31102,1.25495,1.02783,0.0001906,0.0001906,0.0001906
74,282.443,1.26414,1.53224,0.95284,0.75066,0.58094,0.69835,0.46313,1.3043,1.25345,1.01764,0.000189775,0.000189775,0.000189775
75,285.416,1.24159,1.47312,0.92151,0.59426,0.67716,0.69312,0.45955,1.30617,1.22182,1.0121,0.00018895,0.00018895,0.00018895
76,288.633,1.25128,1.46542,0.9341,0.69048,0.62722,0.71954,0.48126,1.34017,1.21704,1.02773,0.000188125,0.000188125,0.000188125
77,292.055,1.271,1.51473,0.9218,0.71824,0.64291,0.72922,0.49722,1.31529,1.21303,1.0295,0.0001873,0.0001873,0.0001873
78,297.177,1.20489,1.42135,0.94228,0.80301,0.61709,0.74817,0.5032,1.33008,1.23419,1.02372,0.000186475,0.000186475,0.000186475
79,300.193,1.22721,1.42944,0.91613,0.69731,0.67863,0.75043,0.5095,1.30392,1.19495,1.01486,0.00018565,0.00018565,0.00018565
80,303.854,1.22463,1.40951,0.93728,0.72141,0.6455,0.75684,0.51457,1.29835,1.16696,1.01469,0.000184825,0.000184825,0.000184825
81,307.095,1.29277,1.4466,0.93835,0.79048,0.62131,0.76292,0.51689,1.30699,1.19215,1.01728,0.000184,0.000184,0.000184
82,312.272,1.21347,1.38709,0.94648,0.76889,0.6092,0.7519,0.50283,1.32903,1.2248,1.0173,0.000183175,0.000183175,0.000183175
83,315.55,1.24323,1.44632,0.93671,0.70004,0.67168,0.7466,0.4999,1.29113,1.18431,1.01035,0.00018235,0.00018235,0.00018235
84,318.787,1.24325,1.42486,0.93207,0.70215,0.65712,0.75181,0.51351,1.31173,1.2045,1.01639,0.000181525,0.000181525,0.000181525
85,321.895,1.19555,1.34759,0.92694,0.64947,0.68848,0.73808,0.50787,1.29375,1.20252,1.0133,0.0001807,0.0001807,0.0001807
86,327.054,1.20154,1.36548,0.93834,0.71833,0.64398,0.74902,0.51079,1.29457,1.17537,1.00661,0.000179875,0.000179875,0.000179875
87,330.442,1.19344,1.41136,0.91182,0.80033,0.59199,0.77326,0.53571,1.26999,1.15244,1.00005,0.00017905,0.00017905,0.00017905
88,333.712,1.19626,1.34538,0.92439,0.72609,0.68717,0.785,0.54112,1.28306,1.13531,1.0053,0.000178225,0.000178225,0.000178225
89,336.977,1.16798,1.3318,0.90927,0.73367,0.64697,0.78639,0.54115,1.28869,1.13965,1.00844,0.0001774,0.0001774,0.0001774
90,342.114,1.18774,1.31415,0.92186,0.76016,0.65229,0.77629,0.53693,1.26578,1.10768,1.01502,0.000176575,0.000176575,0.000176575
91,345.394,1.17389,1.29511,0.91587,0.78807,0.65474,0.78323,0.53561,1.28974,1.1092,1.0141,0.00017575,0.00017575,0.00017575
92,348.626,1.18648,1.30517,0.93814,0.76956,0.70106,0.78098,0.53394,1.27363,1.10889,1.01105,0.000174925,0.000174925,0.000174925
93,351.694,1.20276,1.34701,0.93628,0.72589,0.73902,0.79525,0.54572,1.25282,1.10509,1.01362,0.0001741,0.0001741,0.0001741
94,356.684,1.13356,1.28912,0.91134,0.78264,0.7151,0.81538,0.55996,1.24547,1.09608,1.01066,0.000173275,0.000173275,0.000173275
95,360.259,1.21237,1.33823,0.92614,0.72202,0.72175,0.81745,0.56288,1.24046,1.08092,1.00536,0.00017245,0.00017245,0.00017245
96,363.54,1.1574,1.24216,0.91694,0.74309,0.71433,0.81866,0.55449,1.29229,1.08124,1.00615,0.000171625,0.000171625,0.000171625
97,366.843,1.17285,1.30169,0.91886,0.76454,0.69081,0.81241,0.55701,1.25988,1.08746,1.0038,0.0001708,0.0001708,0.0001708
98,371.674,1.18351,1.3101,0.9229,0.73839,0.71054,0.80701,0.56299,1.24321,1.10782,1.00731,0.000169975,0.000169975,0.000169975
99,375.292,1.14153,1.26696,0.91137,0.75338,0.71366,0.81438,0.56692,1.2269,1.08797,0.999,0.00016915,0.00016915,0.00016915
100,378.433,1.15311,1.26506,0.90196,0.8036,0.73383,0.83515,0.57756,1.22769,1.05099,0.99631,0.000168325,0.000168325,0.000168325
101,381.786,1.16066,1.25133,0.91801,0.75958,0.77058,0.84947,0.58158,1.22922,1.04364,0.99556,0.0001675,0.0001675,0.0001675
102,386.37,1.08785,1.20526,0.9065,0.74385,0.76805,0.83557,0.57085,1.23417,1.07185,1.00551,0.000166675,0.000166675,0.000166675
103,390.017,1.14843,1.23374,0.91286,0.80973,0.72578,0.84254,0.5734,1.25344,1.06078,1.0077,0.00016585,0.00016585,0.00016585
104,393.361,1.1702,1.28382,0.91972,0.8219,0.74329,0.84961,0.58592,1.22461,1.04228,0.99545,0.000165025,0.000165025,0.000165025
105,396.737,1.15736,1.23398,0.90839,0.77213,0.76726,0.84613,0.58822,1.21117,1.03576,0.99264,0.0001642,0.0001642,0.0001642
106,401.659,1.10991,1.20933,0.91534,0.78995,0.7537,0.83909,0.57681,1.22457,1.02585,0.99932,0.000163375,0.000163375,0.000163375
107,405.313,1.11315,1.18067,0.896,0.8,0.73538,0.83247,0.57097,1.24326,1.04246,1.01334,0.00016255,0.00016255,0.00016255
108,408.819,1.13684,1.22242,0.9212,0.76775,0.77431,0.83007,0.5727,1.2294,1.08278,1.00129,0.000161725,0.000161725,0.000161725
109,412.007,1.14407,1.23244,0.91381,0.75955,0.77245,0.82522,0.58047,1.21942,1.05234,1.00158,0.0001609,0.0001609,0.0001609
110,416.319,1.11631,1.2138,0.91541,0.79079,0.70555,0.83663,0.57691,1.25614,1.03281,1.00443,0.000160075,0.000160075,0.000160075
111,420.234,1.13228,1.18811,0.90196,0.74754,0.79068,0.84338,0.57209,1.27797,1.03728,1.00817,0.00015925,0.00015925,0.00015925
112,423.627,1.06869,1.13812,0.91028,0.78956,0.76525,0.85615,0.60641,1.18312,1.00237,0.99014,0.000158425,0.000158425,0.000158425
113,426.889,1.1427,1.24073,0.90964,0.78944,0.7566,0.84862,0.59262,1.21663,1.00301,1.00011,0.0001576,0.0001576,0.0001576
114,431.157,1.10991,1.20662,0.90963,0.78999,0.77626,0.84609,0.59459,1.19805,1.02509,0.99296,0.000156775,0.000156775,0.000156775
115,435.248,1.09928,1.17871,0.90273,0.77863,0.77914,0.85079,0.59929,1.18911,0.9959,0.99242,0.00015595,0.00015595,0.00015595
116,439.138,1.08076,1.17614,0.89383,0.76767,0.7756,0.83622,0.58187,1.2141,0.99107,1.00018,0.000155125,0.000155125,0.000155125
117,443.361,1.11085,1.14883,0.8996,0.8013,0.77484,0.85433,0.59849,1.18836,0.98367,0.99516,0.0001543,0.0001543,0.0001543
118,450.994,1.07695,1.14501,0.8941,0.81271,0.75972,0.86438,0.60745,1.18224,0.97592,0.99144,0.000153475,0.000153475,0.000153475
119,454.649,1.07338,1.11707,0.9091,0.81656,0.74433,0.85854,0.60484,1.19737,0.99205,0.99033,0.00015265,0.00015265,0.00015265
120,457.955,1.09228,1.126,0.91405,0.83334,0.72555,0.86325,0.5989,1.21403,0.97633,0.98806,0.000151825,0.000151825,0.000151825
121,462.065,1.06577,1.14773,0.88637,0.81344,0.74913,0.85741,0.60304,1.1842,0.95271,0.98255,0.000151,0.000151,0.000151
122,466.048,1.06389,1.13504,0.89247,0.82511,0.75589,0.86513,0.59541,1.22114,0.95161,0.99289,0.000150175,0.000150175,0.000150175
123,469.294,1.10349,1.11834,0.89552,0.82941,0.75643,0.86775,0.60105,1.18346,0.94868,0.98897,0.00014935,0.00014935,0.00014935
124,472.575,1.09704,1.15242,0.91323,0.76648,0.7786,0.863,0.59887,1.18706,0.9646,0.99927,0.000148525,0.000148525,0.000148525
125,476.71,1.09707,1.11626,0.89751,0.74994,0.79534,0.85888,0.59949,1.18141,0.96695,0.99825,0.0001477,0.0001477,0.0001477
126,481.16,1.08994,1.13527,0.90385,0.82141,0.75375,0.85372,0.59913,1.18113,0.94135,0.99435,0.000146875,0.000146875,0.000146875
127,484.546,1.05241,1.13918,0.91175,0.81859,0.75306,0.85831,0.60249,1.17128,0.93567,0.98433,0.00014605,0.00014605,0.00014605
128,487.84,1.03854,1.09738,0.88668,0.78527,0.78371,0.87005,0.61364,1.17815,0.91861,0.98758,0.000145225,0.000145225,0.000145225
129,491.822,1.07953,1.11435,0.8893,0.80625,0.75813,0.87935,0.61476,1.18073,0.92142,0.99114,0.0001444,0.0001444,0.0001444
130,496.077,1.06256,1.09582,0.89837,0.76995,0.83696,0.88697,0.61762,1.20003,0.93673,0.9908,0.000143575,0.000143575,0.000143575
131,499.16,1.0061,1.06984,0.88945,0.77562,0.84694,0.88812,0.62646,1.18226,0.92161,0.98277,0.00014275,0.00014275,0.00014275
132,502.514,1.04484,1.1074,0.89116,0.75717,0.82772,0.88532,0.62631,1.16193,0.90695,0.97774,0.000141925,0.000141925,0.000141925
133,506.06,1.04891,1.06911,0.89364,0.77305,0.81687,0.8819,0.62514,1.163,0.91444,0.9794,0.0001411,0.0001411,0.0001411
134,510.858,1.06078,1.09168,0.90359,0.7691,0.81967,0.88074,0.62405,1.16487,0.90908,0.98402,0.000140275,0.000140275,0.000140275
135,514.177,1.03933,1.05558,0.89482,0.77172,0.79952,0.88645,0.62989,1.15974,0.90451,0.98345,0.00013945,0.00013945,0.00013945
136,517.481,1.02261,1.0602,0.87549,0.80186,0.76355,0.88385,0.62177,1.17056,0.91136,0.9892,0.000138625,0.000138625,0.000138625
137,520.579,1.05124,1.04304,0.88473,0.78184,0.78093,0.87968,0.61447,1.16318,0.9055,0.98109,0.0001378,0.0001378,0.0001378
138,525.789,1.04105,1.0585,0.89351,0.76093,0.80842,0.89063,0.63539,1.14955,0.89949,0.9803,0.000136975,0.000136975,0.000136975
139,529.009,1.04376,1.08943,0.89547,0.77018,0.82041,0.89432,0.63171,1.14974,0.89402,0.97595,0.00013615,0.00013615,0.00013615
140,532.639,1.02286,1.0615,0.88819,0.81606,0.81074,0.90654,0.64313,1.14552,0.89177,0.96864,0.000135325,0.000135325,0.000135325
141,535.999,1.02964,1.06495,0.87953,0.86393,0.79316,0.90941,0.64975,1.14307,0.86752,0.9709,0.0001345,0.0001345,0.0001345
142,541.284,1.02785,1.06779,0.8813,0.85548,0.79743,0.90261,0.63662,1.17423,0.87507,0.9793,0.000133675,0.000133675,0.000133675
143,544.467,1.00419,1.04132,0.89135,0.85758,0.81095,0.89941,0.64245,1.15633,0.8769,0.9767,0.00013285,0.00013285,0.00013285
