epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2983.31,0.44828,0.3197,0.98854,0.99593,0.99284,0.99498,0.91155,0.47817,0.29866,0.878,0.008614,0.008614,0.008614
44,3052.59,0.45702,0.31927,0.99305,0.99641,0.98579,0.9948,0.91158,0.47363,0.32404,0.86523,0.008581,0.008581,0.008581
45,3121.61,0.45051,0.32315,0.99442,0.99456,0.98579,0.99448,0.9224,0.45854,0.28841,0.85934,0.008548,0.008548,0.008548
46,3192,0.44685,0.31276,0.98894,0.99081,0.98464,0.99476,0.91932,0.46634,0.30598,0.86149,0.008515,0.008515,0.008515
47,3261.5,0.44619,0.31242,0.99184,0.99415,0.98477,0.99457,0.92948,0.45043,0.27764,0.85496,0.008482,0.008482,0.008482
48,3331.72,0.44713,0.31628,0.99266,0.99733,0.9868,0.99476,0.90959,0.47696,0.29137,0.87374,0.008449,0.008449,0.008449
49,3402.88,0.44144,0.30974,0.98649,0.99694,0.99222,0.99489,0.92323,0.45633,0.30032,0.84931,0.008416,0.008416,0.008416
50,3472.64,0.44597,0.31397,0.98723,0.99843,0.98579,0.9949,0.91738,0.46401,0.28594,0.86408,0.008383,0.008383,0.008383
51,3541.4,0.43551,0.3071,0.98159,0.99064,0.99188,0.99488,0.91284,0.4604,0.29415,0.85864,0.00835,0.00835,0.00835
52,3611.57,0.43307,0.30339,0.97645,0.99591,0.9881,0.99492,0.92797,0.45439,0.27816,0.85007,0.008317,0.008317,0.008317
53,3680.48,0.43565,0.30449,0.98439,0.99334,0.98782,0.99469,0.91805,0.45011,0.27619,0.84552,0.008284,0.008284,0.008284
54,3750.09,0.43314,0.29963,0.98212,0.99389,0.99086,0.99465,0.91466,0.452,0.28872,0.84304,0.008251,0.008251,0.008251
55,3819.13,0.43615,0.30536,0.98671,0.99509,0.98579,0.99481,0.92256,0.43992,0.27496,0.83474,0.008218,0.008218,0.008218
56,3887.65,0.42751,0.30029,0.98327,0.9939,0.99177,0.9949,0.91927,0.44565,0.28061,0.85293,0.008185,0.008185,0.008185
57,3957.21,0.43059,0.30133,0.98045,0.99276,0.98985,0.99466,0.924,0.46026,0.31663,0.86333,0.008152,0.008152,0.008152
58,4025.96,0.43454,0.29977,0.98239,0.99542,0.9868,0.99476,0.91893,0.45854,0.27627,0.85397,0.008119,0.008119,0.008119
59,4095.12,0.42988,0.3054,0.97754,0.99589,0.98284,0.99476,0.92634,0.43692,0.28773,0.84318,0.008086,0.008086,0.008086
60,4164.7,0.42908,0.29676,0.98487,0.99057,0.99086,0.99489,0.93549,0.44131,0.27397,0.84506,0.008053,0.008053,0.008053
61,4233.13,0.42521,0.29585,0.97435,0.99591,0.98994,0.99491,0.92744,0.43903,0.28561,0.841,0.00802,0.00802,0.00802
62,4302.46,0.42382,0.29513,0.97341,0.99693,0.98872,0.99477,0.92015,0.44261,0.26815,0.842,0.007987,0.007987,0.007987
63,4372.3,0.41437,0.28699,0.97027,0.99271,0.98579,0.99467,0.92289,0.4411,0.27185,0.84158,0.007954,0.007954,0.007954
64,4441.07,0.42093,0.29133,0.97612,0.99694,0.99182,0.99485,0.92202,0.43299,0.26726,0.82762,0.007921,0.007921,0.007921
65,4510.8,0.42257,0.29526,0.97988,0.99694,0.99067,0.99484,0.92837,0.42843,0.26747,0.83417,0.007888,0.007888,0.007888
66,4580.53,0.41344,0.28538,0.96853,0.99282,0.99188,0.99491,0.93153,0.42991,0.28016,0.82894,0.007855,0.007855,0.007855
67,4649.54,0.41937,0.29549,0.97554,1,0.98738,0.99491,0.92389,0.42812,0.26851,0.84867,0.007822,0.007822,0.007822
68,4718.91,0.41585,0.29329,0.98024,0.99324,0.99086,0.99488,0.93653,0.43329,0.27566,0.83427,0.007789,0.007789,0.007789
69,4789.22,0.40315,0.28383,0.96934,0.99784,0.99289,0.99498,0.93439,0.43174,0.27666,0.83856,0.007756,0.007756,0.007756
70,4858.11,0.40863,0.28071,0.97178,0.99812,0.98985,0.99494,0.92752,0.43424,0.26844,0.8412,0.007723,0.007723,0.007723
71,4926.74,0.40324,0.28244,0.97007,0.99693,0.99046,0.99495,0.93261,0.43546,0.26599,0.83543,0.00769,0.00769,0.00769
72,4997.01,0.41133,0.28399,0.96808,0.99703,0.9868,0.99489,0.93214,0.42118,0.26811,0.83334,0.007657,0.007657,0.007657
73,5065.77,0.40746,0.28558,0.97236,0.99592,0.99178,0.9948,0.92954,0.42676,0.27773,0.83477,0.007624,0.007624,0.007624
74,5135.32,0.41598,0.28812,0.97,0.99365,0.99492,0.99486,0.93413,0.42453,0.25834,0.82877,0.007591,0.007591,0.007591
75,5205.9,0.40984,0.286,0.97217,0.99756,0.98883,0.99493,0.93532,0.43698,0.26523,0.84207,0.007558,0.007558,0.007558
76,5275.5,0.40506,0.28283,0.97068,0.99288,0.99127,0.9948,0.93192,0.42382,0.26713,0.83433,0.007525,0.007525,0.007525
77,5345.02,0.40935,0.28052,0.97302,0.99795,0.98973,0.99498,0.9263,0.43836,0.26498,0.83689,0.007492,0.007492,0.007492
78,5413.89,0.4086,0.27854,0.97031,0.99444,0.99391,0.99489,0.92773,0.41851,0.26037,0.81879,0.007459,0.007459,0.007459
79,5483.07,0.39959,0.27631,0.96209,0.99259,0.99289,0.99491,0.93688,0.41705,0.264,0.82004,0.007426,0.007426,0.007426
80,5553.14,0.39791,0.27849,0.96679,0.99089,0.9935,0.99478,0.92879,0.42648,0.25929,0.83828,0.007393,0.007393,0.007393
81,5622.29,0.39575,0.27706,0.96305,0.99289,0.99244,0.99491,0.93419,0.4193,0.26199,0.82626,0.00736,0.00736,0.00736
82,5691.14,0.3989,0.27437,0.96843,0.9965,0.9868,0.99492,0.93518,0.41968,0.26609,0.82203,0.007327,0.007327,0.007327
83,5761,0.39681,0.27686,0.9645,0.9949,0.9902,0.99492,0.93322,0.42876,0.2671,0.82444,0.007294,0.007294,0.007294
84,5829.99,0.40082,0.2742,0.96985,0.99555,0.99188,0.99483,0.93342,0.43016,0.27573,0.83488,0.007261,0.007261,0.007261
85,5899.48,0.39524,0.2735,0.96446,0.99517,0.99492,0.99476,0.93526,0.42134,0.25846,0.82795,0.007228,0.007228,0.007228
86,5968.85,0.39614,0.27272,0.96287,0.99594,0.99591,0.99476,0.93661,0.41618,0.25084,0.81905,0.007195,0.007195,0.007195
87,6037.61,0.39894,0.27183,0.96408,0.99593,0.9934,0.9949,0.93956,0.42001,0.25199,0.82645,0.007162,0.007162,0.007162
88,6106.47,0.38936,0.26856,0.96206,0.99592,0.99219,0.99472,0.92912,0.41914,0.25113,0.83187,0.007129,0.007129,0.007129
89,6176.73,0.39778,0.27319,0.96177,0.99291,0.9953,0.99493,0.94161,0.40971,0.27931,0.81522,0.007096,0.007096,0.007096
90,6245.73,0.38812,0.26592,0.95931,0.99431,0.99492,0.99482,0.93533,0.416,0.25572,0.8224,0.007063,0.007063,0.007063
91,6314.55,0.38485,0.26264,0.95758,0.99464,0.99391,0.99491,0.94315,0.41403,0.24195,0.82725,0.00703,0.00703,0.00703
92,6384.49,0.3877,0.26961,0.95967,0.99492,0.99474,0.99487,0.93255,0.42627,0.25234,0.83128,0.006997,0.006997,0.006997
93,6453.17,0.38989,0.26683,0.95599,0.99266,0.99492,0.99484,0.94279,0.40986,0.24621,0.8172,0.006964,0.006964,0.006964
94,6521.69,0.38508,0.26256,0.95843,0.99796,0.99256,0.99487,0.94117,0.4063,0.24254,0.81567,0.006931,0.006931,0.006931
95,6593.67,0.38813,0.26489,0.96034,0.99693,0.99058,0.99493,0.93875,0.41185,0.24625,0.81755,0.006898,0.006898,0.006898
96,6662.28,0.38604,0.25959,0.95688,0.99289,0.99284,0.99487,0.94387,0.40522,0.24489,0.8221,0.006865,0.006865,0.006865
97,6730.92,0.38376,0.26048,0.95798,0.99391,0.99453,0.99478,0.94144,0.3938,0.23814,0.80227,0.006832,0.006832,0.006832
98,6799.84,0.37963,0.25942,0.95158,0.99693,0.99055,0.99495,0.9408,0.39889,0.24422,0.80361,0.006799,0.006799,0.006799
99,6869.87,0.38251,0.26746,0.95762,0.9949,0.99064,0.99491,0.94068,0.39602,0.24942,0.79931,0.006766,0.006766,0.006766
100,6938.72,0.37791,0.25888,0.95606,0.99432,0.99188,0.99479,0.94244,0.39001,0.2508,0.79845,0.006733,0.006733,0.006733
101,7007.94,0.38235,0.26437,0.95769,0.99669,0.99086,0.99494,0.94513,0.39158,0.22868,0.79223,0.0067,0.0067,0.0067
102,7077.59,0.3746,0.25502,0.95504,0.99695,0.99445,0.9949,0.9451,0.39938,0.24044,0.805,0.006667,0.006667,0.006667
103,7146.88,0.3706,0.25232,0.9536,0.99466,0.99289,0.99479,0.94185,0.41149,0.23397,0.82121,0.006634,0.006634,0.006634
104,7215.58,0.37488,0.25821,0.95306,0.99796,0.99288,0.99491,0.93925,0.41562,0.24164,0.82834,0.006601,0.006601,0.006601
105,7285.01,0.38708,0.263,0.95444,0.99695,0.99457,0.99495,0.93439,0.41309,0.23682,0.82058,0.006568,0.006568,0.006568
106,7353.61,0.37066,0.25688,0.95223,0.99292,0.99617,0.99487,0.93856,0.40372,0.23336,0.80818,0.006535,0.006535,0.006535
107,7423.08,0.36969,0.25343,0.95521,0.99695,0.9958,0.99497,0.94114,0.40224,0.23402,0.81365,0.006502,0.006502,0.006502
108,7493.01,0.37533,0.25645,0.95557,0.99463,0.99492,0.99494,0.93783,0.41486,0.24398,0.81897,0.006469,0.006469,0.006469
109,7562.36,0.36752,0.25079,0.95276,0.99088,0.99324,0.99485,0.93456,0.4118,0.24073,0.81726,0.006436,0.006436,0.006436
110,7632.06,0.36913,0.25644,0.95085,0.99523,0.99289,0.99495,0.93928,0.41029,0.24108,0.81973,0.006403,0.006403,0.006403
